Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2018-05-31,0.2189733642,0.2241552905,0.2249912905,0.2167457132
ADA,2018-06-01,0.2191795566,0.2232069963,0.2279878336,0.2138870034
ADA,2018-06-02,0.2276651321,0.2203169193,0.2289619342,0.216588095
ADA,2018-06-03,0.2265971814,0.2265652025,0.236649961,0.2228718248
ADA,2018-06-04,0.213312724,0.22640947,0.2302724688,0.2092283646
ADA,2018-06-05,0.2188601066,0.2133128709,0.2210602393,0.2021652391
ADA,2018-06-06,0.2146697171,0.2180222864,0.2194979727,0.208366004
ADA,2018-06-07,0.2099522876,0.2146697171,0.2184372,0.2079938
ADA,2018-06-08,0.2046251206,0.2099522876,0.2103365341,0.2009513115
ADA,2018-06-09,0.20086868,0.2046251206,0.2091944976,0.2003575
ADA,2018-06-10,0.1735230453,0.20086868,0.20086868,0.168562845
ADA,2018-06-11,0.1759488507,0.1662040513,0.1764792385,0.1657369285
ADA,2018-06-12,0.1605663136,0.1789288121,0.1806688441,0.1605649973
ADA,2018-06-13,0.1580036507,0.1606202291,0.1657683871,0.1454150519
ADA,2018-06-14,0.1694652951,0.1578729244,0.1752150901,0.152812667
ADA,2018-06-15,0.1610920356,0.170723965,0.1710700159,0.1606450856
ADA,2018-06-16,0.1631979733,0.1610920586,0.1642270917,0.1577550101
ADA,2018-06-17,0.1617689937,0.1620085977,0.164123611,0.1600307144
ADA,2018-06-18,0.1650289439,0.160508059,0.167937644,0.1555881322
ADA,2018-06-19,0.1653763795,0.1637543233,0.1713019543,0.1612081812
ADA,2018-06-20,0.1612551259,0.1668054977,0.1670393102,0.1571525324
ADA,2018-06-21,0.1583673174,0.1618288796,0.163427721,0.156804457
ADA,2018-06-22,0.1394267986,0.1581738895,0.1586009337,0.1346702091
ADA,2018-06-23,0.1390600353,0.1383551152,0.1528708242,0.1338568557
ADA,2018-06-24,0.1303807608,0.1391600726,0.1392646643,0.1198016792
ADA,2018-06-25,0.1356597046,0.1310268619,0.1370940558,0.1270424256
ADA,2018-06-26,0.128496108,0.1354377677,0.1357711388,0.1281547857
ADA,2018-06-27,0.1273211997,0.1287755315,0.1288904935,0.1228647143
ADA,2018-06-28,0.1204704148,0.1272985556,0.1285510462,0.1200716823
ADA,2018-06-29,0.1256687902,0.1203647653,0.125964502,0.1141129288
ADA,2018-06-30,0.1358127869,0.1255532489,0.139985604,0.1248848688
ADA,2018-07-01,0.157297394,0.1389780031,0.1755729989,0.13389798
ADA,2018-07-02,0.1634122463,0.1573108664,0.1687399642,0.1403435436
ADA,2018-07-03,0.1631854204,0.1638753045,0.1804265313,0.1540339333
ADA,2018-07-04,0.1672743105,0.1655196968,0.1876442595,0.1483211876
ADA,2018-07-05,0.151308221,0.167278995,0.1677388357,0.1463711411
ADA,2018-07-06,0.1449257641,0.1474971774,0.1535601455,0.137945487
ADA,2018-07-07,0.1433995065,0.1466927148,0.14687956,0.1401966608
ADA,2018-07-08,0.1488184254,0.1433958336,0.1513719981,0.1431639907
ADA,2018-07-09,0.1487605617,0.1487223235,0.1516675939,0.1419426139
ADA,2018-07-10,0.1330834832,0.1487594682,0.149108534,0.1294760208
ADA,2018-07-11,0.1319683655,0.1311397866,0.135385679,0.1257650487
ADA,2018-07-12,0.1247928021,0.1327331813,0.1367322499,0.123706797
ADA,2018-07-13,0.1375510067,0.1272041316,0.1442468164,0.124605288
ADA,2018-07-14,0.1576017926,0.1385779619,0.1679909458,0.1263159779
ADA,2018-07-15,0.1592151217,0.1576073165,0.1887090265,0.1354927768
ADA,2018-07-16,0.1613685197,0.1561646614,0.1657490131,0.1412434054
ADA,2018-07-17,0.1713082873,0.1612900384,0.1776403027,0.1527899361
ADA,2018-07-18,0.1836746393,0.1713256227,0.1998372222,0.170333908
ADA,2018-07-19,0.1859047915,0.1837650306,0.2027060609,0.17358606
ADA,2018-07-20,0.1629191189,0.1859031071,0.1866705853,0.1606833961
ADA,2018-07-21,0.1669227184,0.1630846973,0.1707588724,0.1550273366
ADA,2018-07-22,0.1713575228,0.1671146159,0.1800157334,0.1634823417
ADA,2018-07-23,0.1689249605,0.1704749197,0.1818640382,0.1677456306
ADA,2018-07-24,0.174266577,0.1689456021,0.1787906663,0.1631388317
ADA,2018-07-25,0.1737844365,0.1742189113,0.1772727902,0.1667045297
ADA,2018-07-26,0.163736205,0.1737421413,0.1759457259,0.1633376328
ADA,2018-07-27,0.1688042294,0.1647395481,0.1699195499,0.1567036172
ADA,2018-07-28,0.1649289831,0.1654393697,0.1660943699,0.1606383295
ADA,2018-07-29,0.1664797579,0.1649663528,0.1681783926,0.1637450524
ADA,2018-07-30,0.1552497317,0.1651904196,0.1654668981,0.1491045061
ADA,2018-07-31,0.14223743,0.1552491632,0.1556303987,0.1400464959
ADA,2018-08-01,0.1418335266,0.1426679777,0.1453616025,0.1365048688
ADA,2018-08-02,0.1341965632,0.1418339833,0.1438790451,0.1302464124
ADA,2018-08-03,0.1309784716,0.1325585314,0.1354637136,0.1246473785
ADA,2018-08-04,0.1270174884,0.1310225192,0.1342864158,0.1244444471
ADA,2018-08-05,0.1302787724,0.1270461326,0.1316513674,0.1251038671
ADA,2018-08-06,0.1282858422,0.1302587219,0.1362726117,0.1274658729
