Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,2019-02-27,0.0019441344,0.0019621466,0.0019626038,0.0019079064
DOGE,2019-02-28,0.0019124296,0.0019441325,0.0019550938,0.0018962163
DOGE,2019-03-01,0.0019557933,0.0019124296,0.0019769775,0.0019110096
DOGE,2019-03-02,0.0019696271,0.0019574193,0.0019798763,0.0019400405
DOGE,2019-03-03,0.0019483689,0.0019696271,0.001989304,0.001939811
DOGE,2019-03-04,0.0018997023,0.0019483689,0.0019602515,0.001892901
DOGE,2019-03-05,0.0019385985,0.001901824,0.0019638257,0.0018914949
DOGE,2019-03-06,0.0019311646,0.0019385985,0.0019612404,0.0019190907
DOGE,2019-03-07,0.0019439015,0.0019311646,0.0019897317,0.0019266716
DOGE,2019-03-08,0.0019257527,0.0019439015,0.001966499,0.0019093024
DOGE,2019-03-09,0.0019517899,0.0019397059,0.0019775308,0.0019274067
DOGE,2019-03-10,0.0019512731,0.0019635419,0.0019682383,0.0019318183
DOGE,2019-03-11,0.0019291021,0.0019495737,0.0019538529,0.0019062445
DOGE,2019-03-12,0.0019942295,0.0019291021,0.0020246366,0.0018868938
DOGE,2019-03-13,0.0019794038,0.0019942295,0.0020752,0.0019657026
DOGE,2019-03-14,0.0020134829,0.0019794038,0.0020240436,0.0019697621
DOGE,2019-03-15,0.0020213528,0.0020134829,0.0020351853,0.0019981439
DOGE,2019-03-16,0.0020460582,0.0020213528,0.0020761478,0.0020102104
DOGE,2019-03-17,0.0020523038,0.0020472278,0.0020617362,0.002011521
DOGE,2019-03-18,0.0020445107,0.0020523041,0.0020708057,0.0020166137
DOGE,2019-03-19,0.0020414153,0.0020511602,0.0020607693,0.0020219563
DOGE,2019-03-20,0.0020251169,0.0020414153,0.0020578388,0.0020046765
DOGE,2019-03-21,0.0020226155,0.0020359048,0.0020447223,0.0019913617
DOGE,2019-03-22,0.0020073706,0.0020226155,0.0020368411,0.0020017067
DOGE,2019-03-23,0.0020091929,0.0020150861,0.0020267578,0.0019978823
DOGE,2019-03-24,0.0020052849,0.0020091929,0.0020171668,0.0019798392
DOGE,2019-03-25,0.0020115369,0.0020052849,0.0020530202,0.0019774611
DOGE,2019-03-26,0.002031465,0.0020115369,0.0020392592,0.0019931157
DOGE,2019-03-27,0.0020546151,0.0020184496,0.0020715988,0.0019900035
DOGE,2019-03-28,0.0020444473,0.0020546151,0.0020754264,0.0020272319
DOGE,2019-03-29,0.0020812645,0.0020444473,0.0020942837,0.0020390316
DOGE,2019-03-30,0.0020759582,0.0020834942,0.0020976166,0.0020449902
DOGE,2019-03-31,0.0020666735,0.0020759582,0.0020843006,0.002057843
DOGE,2019-04-01,0.002410339,0.0020666735,0.0026003583,0.0020595412
DOGE,2019-04-02,0.0029272116,0.002410339,0.0029622249,0.0023521589
DOGE,2019-04-03,0.0031730039,0.002927241,0.0037540318,0.0027813963
DOGE,2019-04-04,0.0036403857,0.0031459323,0.0042212903,0.0031018247
DOGE,2019-04-05,0.0035294764,0.0036403587,0.0037783181,0.0033281843
DOGE,2019-04-06,0.0033678891,0.0035850028,0.0036120829,0.0033150962
DOGE,2019-04-07,0.0033988161,0.0033678891,0.0035550026,0.0032345584
DOGE,2019-04-08,0.0029482546,0.0033977085,0.003423103,0.0029233385
DOGE,2019-04-09,0.0028758416,0.0029482144,0.0030350854,0.0027277793
DOGE,2019-04-10,0.002963853,0.0028758384,0.0031051262,0.00285747
DOGE,2019-04-11,0.0027434345,0.002963853,0.0029920902,0.0026608005
DOGE,2019-04-12,0.0028136624,0.002755688,0.002847233,0.0026657498
DOGE,2019-04-13,0.0028430999,0.0028136624,0.0029186751,0.0027824716
DOGE,2019-04-14,0.0028684546,0.002853828,0.0028773961,0.0027824134
DOGE,2019-04-15,0.0027478625,0.0028631468,0.0028997222,0.002727466
DOGE,2019-04-16,0.0027760909,0.0027478625,0.002803008,0.0027016536
DOGE,2019-04-17,0.0027763027,0.0027760909,0.0028065504,0.0027530592
DOGE,2019-04-18,0.0029589443,0.0027754753,0.0030109235,0.0027683849
DOGE,2019-04-19,0.0028912384,0.0029532567,0.0029579752,0.0028386748
DOGE,2019-04-20,0.0028582809,0.0028912384,0.002921234,0.0027923477
DOGE,2019-04-21,0.0027599779,0.0028582809,0.0028827275,0.0026393705
DOGE,2019-04-22,0.0027639403,0.0027442644,0.0028148071,0.0026787358
DOGE,2019-04-23,0.0027676725,0.0027639403,0.0029189917,0.0027200482
DOGE,2019-04-24,0.0025603492,0.0027675712,0.0027704809,0.0024488165
DOGE,2019-04-25,0.0024153914,0.0025603492,0.0026332269,0.0023635898
DOGE,2019-04-26,0.0025224385,0.0024550516,0.0025258518,0.0023418729
DOGE,2019-04-27,0.0025383265,0.0025224372,0.0025466004,0.0024192557
DOGE,2019-04-28,0.0024336936,0.0025383265,0.0025398445,0.002411394
DOGE,2019-04-29,0.0024132297,0.0024342655,0.0024868456,0.0023551606
DOGE,2019-04-30,0.0024882501,0.0024132338,0.0024900393,0.0023668308
DOGE,2019-05-01,0.0024505474,0.0024882501,0.0025471517,0.0024343155
DOGE,2019-05-02,0.0025402932,0.0025039215,0.0025932179,0.0024615445
DOGE,2019-05-03,0.0026769789,0.0025402932,0.0027124712,0.0025365699
DOGE,2019-05-04,0.0026715461,0.0026225193,0.0027238077,0.0024944311
DOGE,2019-05-05,0.0025769007,0.0026046367,0.0026544122,0.0025478674
DOGE,2019-05-06,0.0025624734,0.0025769007,0.0026362352,0.002465856
DOGE,2019-05-07,0.0025277911,0.0025621869,0.0026536125,0.0024395109
DOGE,2019-05-08,0.0025374514,0.0024307411,0.0025502283,0.0024016071
DOGE,2019-05-09,0.0024624936,0.0025374514,0.0025593553,0.002366385
DOGE,2019-05-10,0.0025430277,0.0024616004,0.0025585143,0.0023936733
DOGE,2019-05-11,0.0027562171,0.0025391118,0.0028300204,0.0024743934
DOGE,2019-05-12,0.0026380684,0.0027562171,0.002884474,0.0025339406
DOGE,2019-05-13,0.0027200728,0.0026380684,0.0028599882,0.0025613785
DOGE,2019-05-14,0.0030128508,0.0027253487,0.0032734264,0.0026152745
DOGE,2019-05-15,0.0032817462,0.0030051854,0.0033780739,0.0029264325
DOGE,2019-05-16,0.0031972191,0.0032816615,0.0036596708,0.0029812154
DOGE,2019-05-17,0.0028965316,0.0031972191,0.0032261108,0.0025630603
DOGE,2019-05-18,0.0029969819,0.0028403496,0.0030547778,0.0028344618
DOGE,2019-05-19,0.0031279756,0.0029154723,0.0031998864,0.0029139078
DOGE,2019-05-20,0.002975478,0.0031279756,0.0032323467,0.0028800876
DOGE,2019-05-21,0.0030419462,0.002975478,0.003089174,0.0029364648
DOGE,2019-05-22,0.0029157928,0.0030419462,0.0030662063,0.0028589799
DOGE,2019-05-23,0.0029549777,0.0029157928,0.0029633774,0.0027989106
DOGE,2019-05-24,0.0030122246,0.0029539968,0.0030595529,0.0028945754
DOGE,2019-05-25,0.0030586047,0.0030095375,0.0030806199,0.002895374
DOGE,2019-05-26,0.0030451624,0.0030586047,0.0031939056,0.0028824591
DOGE,2019-05-27,0.003129699,0.0030451298,0.0032542077,0.0030411551
DOGE,2019-05-28,0.0031552607,0.0031348157,0.0031627621,0.003080279
DOGE,2019-05-29,0.0032100797,0.0031553555,0.003214459,0.0030204683
DOGE,2019-05-30,0.0032141202,0.0031645911,0.003707161,0.0030398286
DOGE,2019-05-31,0.0034047707,0.0032141202,0.0034936225,0.0030967517
DOGE,2019-06-01,0.0033602084,0.0034047707,0.0035167809,0.0032601328
DOGE,2019-06-02,0.0033239548,0.0033602084,0.0035218542,0.003263951
DOGE,2019-06-03,0.0032246836,0.003323939,0.0034129877,0.0031770738
DOGE,2019-06-04,0.0029765198,0.0031531768,0.0031532512,0.0028469454
DOGE,2019-06-05,0.0030277156,0.0029765198,0.0031096276,0.0028990896
DOGE,2019-06-06,0.0030145937,0.0029631299,0.00310855,0.0029107993
DOGE,2019-06-07,0.0031293538,0.0030145937,0.0031993013,0.0030141504
DOGE,2019-06-08,0.0030206658,0.0031293538,0.0031770579,0.0029696323
DOGE,2019-06-09,0.0029586545,0.0030180225,0.0031014326,0.0028694576
DOGE,2019-06-10,0.0030296946,0.0029586545,0.0031309777,0.0028782163
DOGE,2019-06-11,0.0030776854,0.0031236852,0.0031320842,0.0029474067
DOGE,2019-06-12,0.0030938332,0.0030776854,0.0031255395,0.0029315444
DOGE,2019-06-13,0.0029903004,0.0030355545,0.0031367519,0.0029767218
DOGE,2019-06-14,0.0031213435,0.0029903132,0.0031272769,0.0029442498
DOGE,2019-06-15,0.0031777576,0.003128588,0.0031912905,0.0030276147
DOGE,2019-06-16,0.0031560403,0.0031777576,0.0033538486,0.0030745408
DOGE,2019-06-17,0.0032465499,0.0031560403,0.0032851491,0.0030412151
DOGE,2019-06-18,0.0030497083,0.0031765359,0.0032264178,0.0029737343
