Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
FIL,2020-12-26,23.4535008291,23.5701878583,23.5942721526,23.4112758906
FIL,2020-12-27,22.4484266818,23.5307205288,23.6469022298,22.392938514
FIL,2020-12-28,21.9794661423,22.1942859679,23.0525417004,21.9216405457
FIL,2020-12-29,20.110494388,21.9551002456,22.2116426671,19.9486210257
FIL,2020-12-30,21.0777961394,20.4157764749,21.9861345191,20.2126652655
FIL,2020-12-31,23.9213698071,21.5208790607,25.4884535937,21.1169124079
FIL,2021-01-01,22.5763852914,24.3377614403,25.0122742934,21.9785477091
FIL,2021-01-02,21.5927423303,22.2454636895,23.2293416822,21.1341773547
FIL,2021-01-03,21.143923911,21.7107781353,21.8032850126,20.7652574457
FIL,2021-01-04,20.9971304843,21.2703722539,22.8194643666,20.9182742228
FIL,2021-01-05,21.7081663129,21.4067440533,22.4580499725,21.0235626279
FIL,2021-01-06,21.8502212464,21.6382443918,22.6246775985,21.5762613996
FIL,2021-01-07,22.0364712845,21.9600788224,22.9854845631,21.8231824578
FIL,2021-01-08,21.5716750265,22.0401774608,22.2802718861,21.2103568021
FIL,2021-01-09,22.1368139498,21.5715426382,22.6122852091,21.3624848722
FIL,2021-01-10,23.0984563063,22.0127260487,24.3080405969,22.0084277831
FIL,2021-01-11,21.2123339596,23.399121823,23.5009169239,20.9073165116
FIL,2021-01-12,21.1930243083,21.6414825575,21.9490026364,21.1077517259
FIL,2021-01-13,21.6256447149,21.0502847347,23.1275946385,20.9636568638
FIL,2021-01-14,21.3888804085,21.707695643,22.3088789969,21.3877144216
FIL,2021-01-15,21.5189650115,21.5527563914,22.2206075271,21.315255958
FIL,2021-01-16,22.4325208911,21.5329625481,24.7233651184,21.5120207654
FIL,2021-01-17,24.4860125518,22.8392475903,26.1052162411,22.4252795173
FIL,2021-01-18,23.7197329928,24.3472558848,24.9176290497,23.5357856159
FIL,2021-01-19,22.9915578535,23.7530478456,24.2361366167,22.9609275941
FIL,2021-01-20,22.3352408884,22.6585254184,23.0911819461,21.9926843214
FIL,2021-01-21,21.2245445922,22.3488562452,22.720953244,20.9476244838
FIL,2021-01-22,22.2673208174,21.3228427148,23.0571557617,20.7505623501
FIL,2021-01-23,22.7389913562,22.3045489288,23.602083352,22.1507764762
FIL,2021-01-24,22.6925068684,22.7125280327,23.2023335634,22.4475212839
FIL,2021-01-25,22.5711746068,22.7360496274,23.026194166,22.4714522547
FIL,2021-01-26,21.9506192742,22.429031226,22.7409668898,21.8263374449
FIL,2021-01-27,21.4738345977,22.2047515832,22.2333064793,21.2354690325
FIL,2021-01-28,21.9758665884,21.4586252062,22.07143551,21.3441585515
FIL,2021-01-29,22.2376794657,21.9290102267,22.9301456932,21.8805996948
FIL,2021-01-30,22.1306746211,22.3086952216,22.5820050528,21.999255145
FIL,2021-01-31,22.186101089,22.0557989505,22.6198462425,22.0508293656
FIL,2021-02-01,22.4205086338,22.2773792542,23.9837518309,22.0571666257
FIL,2021-02-02,22.575754078,22.6313588198,22.9609178713,22.3294511105
FIL,2021-02-03,22.928214286,22.5090618935,23.4721124817,22.4323574724
FIL,2021-02-04,22.9673406123,23.0713046752,23.2998786591,22.7034075884
FIL,2021-02-05,24.3873756673,22.9088942635,25.6405155613,22.8223093727
FIL,2021-02-06,24.3547353242,24.4997400248,25.2694036117,23.8226428606
FIL,2021-02-07,23.936678097,24.2752210636,24.6356085314,23.738389324
FIL,2021-02-08,26.5080309722,24.0786783216,26.5145842091,23.8487669866
FIL,2021-02-09,45.2952959219,27.7249928666,45.4057060717,27.1227578232
FIL,2021-02-10,39.3475455698,44.2155195555,45.7347469041,35.3005531641
FIL,2021-02-11,40.3987483016,39.8133889658,42.8513460535,36.8603722146
FIL,2021-02-12,43.1202474938,40.3412131977,44.7886305108,39.2244446365
FIL,2021-02-13,42.0218584044,42.7368915157,44.674152192,39.8003275219
FIL,2021-02-14,48.018486192,41.6090395577,52.4150505792,41.1995753872
FIL,2021-02-15,43.868380286,47.1886635769,50.6862543621,36.3494156153
FIL,2021-02-16,42.1792639747,42.9781718876,45.8630395659,40.2550019259
FIL,2021-02-17,42.7431461672,41.8869572272,44.7508260949,40.3638199513
FIL,2021-02-18,42.8146451146,43.1949840061,44.4199675769,42.4470400715
FIL,2021-02-19,41.6368833375,43.4408369737,43.7293457487,41.3019609885
FIL,2021-02-20,42.9101511928,43.1490389667,49.2411103487,42.1542373327
FIL,2021-02-21,44.0851440926,43.0403452555,45.8744111963,42.5233490689
FIL,2021-02-22,39.3276412974,44.666840701,44.8365345454,32.199517542
FIL,2021-02-23,34.3294763275,39.4061238253,39.5162815378,31.5398368097
FIL,2021-02-24,36.0378078014,35.476100722,38.241310179,34.3202344813
FIL,2021-02-25,35.3034150486,36.6137037957,37.528006585,34.9374181183
FIL,2021-02-26,34.796604823,35.0064730837,36.442498181,33.3723198598
FIL,2021-02-27,37.7256662171,35.1313991791,38.836340867,35.0953506578
FIL,2021-02-28,35.9803027337,37.9679727947,38.4451222955,34.8890040268
FIL,2021-03-01,38.3134338753,36.0178925698,39.4524519737,35.7497535999
FIL,2021-03-02,37.9016018384,38.5792431949,38.972137945,37.2634491121
FIL,2021-03-03,42.004486464,38.2582888135,44.8442823837,38.0820861453
FIL,2021-03-04,40.8063054266,42.125941518,43.26798594,40.0254956749
FIL,2021-03-05,40.5395485929,40.7927637432,40.8089607444,38.4192959138
FIL,2021-03-06,40.5295826061,40.4929268214,40.8572929415,38.9993137298
FIL,2021-03-07,40.9672527466,40.401477647,41.7612845554,40.3100927717
FIL,2021-03-08,41.0692099518,41.4021395174,41.9428407842,40.6244027846
FIL,2021-03-09,41.8808148563,41.5321478736,42.511727947,41.1810747482
FIL,2021-03-10,42.9284980846,41.9762542729,44.2246361013,41.1349488034
FIL,2021-03-11,41.9820709862,42.5013841001,43.1275091894,41.6754639383
FIL,2021-03-12,44.3866380066,42.2391310614,45.0784224268,41.9928324501
FIL,2021-03-13,49.2547486685,44.0524669654,51.9603210397,43.5299162897
FIL,2021-03-14,55.5421942387,49.2412403014,56.9824328745,49.2349299571
FIL,2021-03-15,53.4219111395,53.78465661,56.1781306778,52.1235241955
FIL,2021-03-16,61.4173850745,53.3959075315,62.3831642281,50.8278012573
FIL,2021-03-17,87.8120296239,63.5500206621,88.9749733574,62.5983056876
FIL,2021-03-18,75.7150837051,88.4205403485,89.4719124407,74.1749888532
FIL,2021-03-19,83.9001071575,79.505175774,85.9569293213,75.7759307713
FIL,2021-03-20,82.411903019,83.0855010576,86.0542696477,81.5112707648
FIL,2021-03-21,81.5189408599,82.0621459022,83.2313568465,80.4684236915
FIL,2021-03-22,76.1859311738,80.6607516096,81.4227465797,75.6177054068
FIL,2021-03-23,83.1503214671,76.4050990084,85.4953771067,73.4823403756
FIL,2021-03-24,86.6569918584,82.5599043734,94.8195933365,79.7773285795
FIL,2021-03-25,91.4051698367,85.9579185894,96.0666776635,85.0290337521
FIL,2021-03-26,116.4120729931,91.0643213852,119.5982807419,90.9635367223
FIL,2021-03-27,136.8194780145,124.5919087413,139.5581764009,120.4080600845
FIL,2021-03-28,126.8879369104,132.4610706936,133.7272978026,121.1748727583
FIL,2021-03-29,126.5571074345,125.2497244763,130.3493238181,123.8051669317
FIL,2021-03-30,151.409793231,127.2783168861,153.4943451161,124.6099264978
FIL,2021-03-31,192.2291111637,149.8161185671,195.7962318769,145.80467201
FIL,2021-04-01,196.1097330596,190.8454344139,237.6247491252,182.23357396
FIL,2021-04-02,174.4365342311,185.6455514574,205.5224213165,160.8338059364
FIL,2021-04-03,173.919963114,171.9015120957,180.9046832838,162.622327575
FIL,2021-04-04,183.0514872903,178.4751621122,192.7132762785,175.4500743894
FIL,2021-04-05,175.1108144586,182.8340626649,185.5166133364,171.1081215513
FIL,2021-04-06,166.9024490674,176.5018264838,178.9242345753,164.9005418681
FIL,2021-04-07,152.798970349,165.6408289456,166.4640556721,135.7186560482
FIL,2021-04-08,154.6779995308,156.3375915037,158.912068133,146.6212884538
FIL,2021-04-09,173.7792274196,154.0814000471,175.7369463352,152.9534872558
FIL,2021-04-10,175.21131781,172.1618898168,187.9617583868,170.7445988754
FIL,2021-04-11,177.5315061559,174.5124374484,183.8187944074,172.9163110895
FIL,2021-04-12,166.6888116954,179.0772166889,181.4687025905,159.8051659233
FIL,2021-04-13,165.4605940665,167.8430143327,169.0030732864,159.8030170033
FIL,2021-04-14,167.5567372587,164.1366501137,179.0584596011,161.2062774008
FIL,2021-04-15,171.1135095018,168.2829379657,175.3725094744,168.0566833784
FIL,2021-04-16,182.231833622,170.976903805,195.4617557981,170.9627448779
FIL,2021-04-17,180.479601276,182.8971680933,192.5383272369,176.7503741627
