Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LINK,2020-03-23,2.2312102945,1.9644070435,2.3132411207,1.9454056122
LINK,2020-03-24,2.3328513303,2.231227529,2.3798940964,2.2070910937
LINK,2020-03-25,2.2634083486,2.3328994475,2.3560703344,2.1919126907
LINK,2020-03-26,2.269479995,2.2630898949,2.303841422,2.2143065422
LINK,2020-03-27,2.2534648764,2.2694568003,2.3683103502,2.2326328027
LINK,2020-03-28,2.1289044363,2.253471006,2.2556764104,2.0388526294
LINK,2020-03-29,2.0257339978,2.1291319757,2.1586687516,2.0105984595
LINK,2020-03-30,2.1529810423,2.025691052,2.2081410026,2.0032245892
LINK,2020-03-31,2.2628613616,2.1524495934,2.3056155932,2.1162793296
LINK,2020-04-01,2.2513602427,2.2631013704,2.2931825772,2.147161195
LINK,2020-04-02,2.3243984628,2.2514712357,2.4525252548,2.2497697285
LINK,2020-04-03,2.314253422,2.3244245121,2.3871770584,2.2693695957
LINK,2020-04-04,2.3010199485,2.3142788673,2.346259313,2.2605680939
LINK,2020-04-05,2.2709624671,2.3021472045,2.3264858876,2.2471541758
LINK,2020-04-06,2.4830772119,2.4378063342,2.5260460297,2.4280741712
LINK,2020-04-07,2.7362532985,2.4831150457,2.9108971697,2.4817179911
LINK,2020-04-08,3.2428959761,2.7362622647,3.2790590908,2.6923102968
LINK,2020-04-09,3.357759426,3.2457782971,3.4774330715,3.1255021141
LINK,2020-04-10,3.2242024066,3.3578025282,3.3582809764,2.9499003148
LINK,2020-04-11,3.2805537505,3.2230320386,3.4430842122,3.0704940806
LINK,2020-04-12,3.4870418371,3.2798464615,3.6541838223,3.175941224
LINK,2020-04-13,3.4050245379,3.4893915786,3.5300857648,3.2084648951
LINK,2020-04-14,3.2678274268,3.4048705158,3.4503154433,3.2121472791
LINK,2020-04-15,3.1956553488,3.2678205229,3.3126066811,3.1149159553
LINK,2020-04-16,3.4854596011,3.196295107,3.4885504502,2.9796176039
LINK,2020-04-17,3.4603842343,3.4869110145,3.5592035867,3.3888619079
LINK,2020-04-18,3.7959654071,3.4603773449,3.8144440507,3.4521538936
LINK,2020-04-19,3.6787870438,3.7959338527,3.8362309819,3.5177750134
LINK,2020-04-20,3.49367353,3.6787877131,3.7959944932,3.3800434704
LINK,2020-04-21,3.5212542104,3.4936854894,3.5776917894,3.4004414109
LINK,2020-04-22,3.6502566511,3.5212548062,3.6982320023,3.4401448402
